alias,exercise
deadlift,barbell deadlift
dip,chest dip
dumbbell fly,dumbbell flyes
lat pulldown,lat pull down
squat,barbell full squat
triceps cable push away,cable overhead triceps extension
clean,power clean
front squat,barbell front squat
row,bent over barbell row
upright row,barbell upright row
one leg calf raise,single leg standing dumbbell calf raise
dumbbell lunge,dumbbell lunges
y raise,lying rear delt y
overhead barbell press,standing barbell shoulder press
one arm landmine row,one arm long bar row
hip thrust,barbell hip thrust
barbell row,bent over barbell row
diverging lat pull down,lat pull down
diverging seated row,machine seated row
seated cable row,seated cable rows
pull up,pullups
push up,pushups
reverse machine flye,reverse machine flyes
dumbbell flye,dumbbell flyes
dumbbell reverse flye,incline dumbbell reverse fly
one leg cable hip extension,single leg cable hip extension
cable y raise,standing low pulley deltoid raise
