id,name,muscle,equipment,description,benefits,instructions,rating
rickshaw-carry,Rickshaw Carry,Forearms,Other,,,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.
Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",9.6
single-leg-press,Single-Leg Press,Quadriceps,Machine,"The single-leg leg press is an exercise targeting the quadriceps one leg at a time. Many lifters prefer the leg press to squatting for several reasons, including the perception that it’s safer for the spine.","Builds stronger, more muscular quads
Using one leg at time allows for heightened focus
Also recruits helps from the hamstrings and glutes","Load the sled to an appropriate weight. Seat yourself on the machine, planting one foot on the platform in line with your hip. Your free foot can be placed on the ground. Maintain good spinal position with your head and chest up.
Supporting the weight, fully extend the knee and unlock the sled. This will be your starting position.
Lower the weight by flexing the hip and knee, continuing as far as flexibility allows. Do not allow your lumbar to take the load by moving your pelvis.
At the bottom of the motion pause briefly and then return to the starting position by extending the hip and knee.
Complete all repetitions for one leg before switching to the other.",9.6
landmine-180s,Landmine twist,Abdominals,Other,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.","Maximizes force transfer through the legs, core, and arms
Powerful rotational core training
Trains coordination and power simultaneously","Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight.
Raise the bar from the floor, taking it to shoulder height with both hands with your arms extended in front of you. Adopt a wide stance. This will be your starting position.
Perform the movement by rotating the trunk and hips as you swing the weight all the way down to one side. Keep your arms extended throughout the exercise.
Reverse the motion to swing the weight all the way to the opposite side.
Continue alternating the movement until the set is complete.",9.5
weighted-pull-ups,Weighted pull-up,Lats,Other,"The weighted pull-up is a more advanced variation of the pull-up exercise in which the lifter adds extra weight to their body. Options for adding weight include a dip belt, weighted vest, chains, a dumbbell placed between the feet or legs, or looping a kettlebell over the foot. Like other pull-up variations, the weighted pull-up builds strength and muscle in the upper back, biceps, and core.","Strengthens the muscles of the lats (latissimus dorsi), biceps, upper back, core, and grip
Allows you to train pull-ups in lower strength-focused rep ranges (e.g., sets of 3-5 reps) if you can do many bodyweight reps
Can help boost your overall pull-up numbers
Heavy, low-rep sets activate different types of muscle fibers, potentially leading to muscle and strength gains","Attach a weight to a dip belt and secure it around your waist. Grab the pull-up bar with the palms of your hands facing forward. For a medium grip, your hands should be spaced at shoulder width. Both arms should be extended in front of you holding the bar at the chosen grip.
You'll want to bring your torso back about 30 degrees while creating a curvature in your lower back and sticking your chest out. This will be your starting position.
Now, exhale and pull your torso up until your head is above your hands. Concentrate on squeezing your shoulder blades back and down as you reach the top contracted position.
After a brief moment at the top contracted position, inhale and slowly lower your torso back to the starting position with your arms extended and your lats fully stretched.",9.5
t-bar-row-with-handle,T-Bar Row with Handle,Middle Back,Other,,,"Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end.
Stand over the bar, and position a Double D row handle around the bar next to the collar. Using your hips and legs, rise to a standing position.
Assume a wide stance with your hips back and your chest up. Your arms should be extended. This will be your starting position.
Pull the weight to your upper abdomen by retracting the shoulder blades and flexing the elbows. Do not jerk the weight or cheat during the movement.
After a brief pause, return to the starting position.",9.5
palms-down-wrist-curl-over-a-bench,Palms-down wrist curl over bench,Forearms,Barbell,"The palms-down wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.","Builds size and strength in the forearms
Builds strength and flexibility in the wrists
Develops grip strength that carries over to strength in other movements
Training wrist extension can help combat training-induced elbow pain
Effective even with light weight","Start out by placing a barbell on one side of a flat bench.
Kneel down on both of your knees so that your body is facing the flat bench.
Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.
Start out by curling your wrist upwards and exhaling.
Slowly lower your wrists back down to the starting position while inhaling.
Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.
Repeat for the recommended amount of repetitions.
This exercise can also be performed sitting down by using your thighs as a resting position for your forearms. Your wrist can hang over your knees and the same movements as mentioned above can be performed.
You can also use a dumbbell instead of a barbell.",9.5
atlas-stones,Atlas Stones,Lower Back,Other,,,"Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold.
Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground.
As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs.
Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.",9.5
side-laterals-to-front-raise-,Dumbbell front raise to lateral raise,Shoulders,Dumbbell,"The dumbbell front raise to lateral raise is a dumbbell complex that combines two exercises that build and strengthen the middle deltoids and the anterior deltoids of the shoulders. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you perform it, it targets both the anterior and medial deltoids, making it a great time-efficient shoulder burnout or accessory movement on an upper-body day.","Builds size in shoulders
Prolonged muscle time under tension
Great burnout on shoulder day or time-efficient shoulder pump in any workout","In a standing position, hold a pair of dumbbells at your side. This will be your starting position.
Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating.
At the top of the exercise move the weights out in front of you, keeping your arms extended.
Lower the weights with a controlled motion.
On the next repetition, raise the weights in front of you to shoulder height before moving the weights laterally to your sides.
Lower the weights to the starting position.",9.5
clean-from-blocks,Clean from Blocks,Quadriceps,Barbell,,,"With a barbell on boxes or stands of the desired height, take an overhand or hook grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.
Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight with the elbows pointed out.
Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight. At the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.3.  As full extension is achieved, transition into the receiving position by aggressively shrugging and flexing the arms with the elbows up and out. Aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.
Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position. Return the weight to the boxes for the next rep.",9.5
incline-hammer-curls,Incline Hammer Curls,Biceps,Dumbbell,,,"Seat yourself on an incline bench with a dumbbell in each hand. You should pressed firmly against he back with your feet together. Allow the dumbbells to hang straight down at your side, holding them with a neutral grip. This will be your starting position.
Initiate the movement by flexing at the elbow, attempting to keep the upper arm stationary.
Continue to the top of the movement and pause, then slowly return to the start position.",9.5
