id,name,force,target,synergist,stabilizer,dynamic stabilizer,antagonist stabilizer,instructions
Triceps/DBKickback,Dumbbell Kickback,Push,Triceps Brachii,,"Deltoid, Posterior;Latissimus Dorsi;Trapezius, Middle;Trapezius, Lower;Rhomboids;Extensor Carpi Ulnaris;Flexor Carpi Ulnaris",,,"Preparation

Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor.

Execution

Extend arm until it is straight. Return and repeat. Continue with opposite arm.
"
BackGeneral/LVWideGripSeatedRow,Lever Wide Grip Seated Row,Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",,"Biceps Brachii;Triceps, Long Head",,"Preparation

Sit on seat and position chest against pad. Grasp outer lever handles with overhand grip.

Execution

Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.
"
TrapeziusUpper/LVShrug,Lever Shrug,Pull,"Trapezius, Upper","Trapezius, Middle;Levator Scapulae",Erector Spinae,,,"Preparation

Stand holding lever bar with shoulder width overhand or mixed grip.

Execution

Elevate shoulders as high as possible. Lower and repeat.
"
BackGeneral/LVWideGripBentOverRowH,Lever Wide Grip Bent-over Row (plate loaded),Pull,"General, Back","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",Erector Spinae;Hamstrings;Gluteus Maximus;Adductor Magnus;Quadriceps,"Biceps Brachii;Triceps, Long Head",Rectus Abdominis;Obliques,"Preparation

With lever handles to sides, bend knees slightly and bend over with back straight. Grasp wider handles.

Execution

Pull lever handles up to sides. Return until arms are extended and shoulders are stretched downward. Repeat.

Comments

Torso should be kept as close to horizontal while allowing for full arm extension. Knees are bent in effort to keep low back straight (See Hamstring Inflexibility). If low back becomes rounded due to tight hamstrings, try bending knees more. Placing weight plates on higher bar lightens resistance at top where strength lessens, without compromising range of motion.
"
Triceps/BBTriExt,Barbell Triceps Extension,Push,Triceps Brachii,,"Deltoid, Anterior;Pectoralis Major, Clavicular;Wrist Flexors",,,"Preparation

Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.

Execution

Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.
"
LatissimusDorsi/CBPullover,Cable Pullover,Pull,Latissimus Dorsi,"Pectoralis Major, Sternal;Triceps Long Head;Teres Major;Deltoid, Posterior;Rhomboids;Levator Scapulae;Pectoralis Minor","Triceps Brachii;Deltoid, Anterior;Pectoralis Major, Clavicular;Wrist Flexors",,,"Preparation

Lie upper back perpendicular on bench. Flex hips slightly, so hips are slightly lower than torso. Grasp revolving barbell cable attachment from behind. Pull to position cable attachment over chest. Fix elbows with small bend.

Execution

Lower cable attachment toward pulley with elbows bent only slightly. Lower until shoulders are fully flexed or upper arms are in-line with upper torso. Raise cable attachment over head and continue toward lower body until cable becomes very close to head. Repeat.
"
BackGeneral/LVAlternatingSeatedUnderhandRow,Lever Alternating Underhand Seated Row,Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",,"Biceps Brachii;Triceps, Long Head",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with underhand grip.

Execution

Pull one lever handle back until elbow is behind back and shoulder is pulled back. Return until arm is extended and shoulder is stretched forward. Repeat with opposite arm, alternating between sides.
"
DeltoidPosterior/LVSeatedRearDeltFly,Lever Seated Reverse Fly (gripless),Pull,"Deltoid, Posterior","Infraspinatus;Teres Minor;Trapezius, Middle;Trapezius, Lower;Rhomboids",Erector Spinae;Gluteus Maximus;Quadriceps,,,"Preparation

Sit on machine with back against vertical pad and roller pads in front of body. Place feet forward on foot bars. Cross both arms in front of body situated between roller pads. Position arms one on top of another, shoulder height.

Execution

Pull arms apart and back until elbows are slightly beyond back. Return to starting position and repeat.
"
Biceps/DBSeatedCurl,Dumbbell Seated Curl,Pull,Biceps Brachii,Brachialis;Brachioradialis,"Deltoid, Anterior;Wrist Flexors",,,"Preparation

Sit on end of bench with dumbbell in each hand and legs together. Position dumbbells with palms facing inward and arms hanging down straight.

Execution

With elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.
"
DeltoidAnterior/BBBehindNeckPress,Barbell Behind Neck Press,Push,"Deltoid, Anterior","Deltoid, Lateral;Supraspinatus;Triceps Brachii;Trapezius, Middle;Trapezius, Lower;Serratus Anterior, Inferior Digitations","Trapezius, Upper;Levator Scapulae","Triceps, Long Head",,"Preparation

Grasp barbell with overhand grip from rack or clean from floor. Position bar behind neck.

Execution

Press bar upward until arms are extended overhead. Return behind neck and repeat.
"
