id,name,force,target,synergist,stabilizer,dynamic stabilizer,antagonist stabilizer,instructions
WristFlexors/LVUlnarFlexion,Lever Ulnar Deviation,unspecified,"
;Flexor Carpi Ulnaris;
;Extensor Carpi Ulnaris ;
","
;None ;
","
;No significant stabilizers ;
",,,"Preparation


 Rotate handle over and under so handle is in slightly downward position toward thighs. Grasp handle with thumb ups grip so fist is pulled up under resistance.


Execution


 Bend wrist so pinky side of fist is pulled down. Return to starting position and repeat.

"
Splenius/CBNeckExt,Cable Neck Extension,Pull,"
;Splenius;
","
;Trapezius, Upper;
;Levator Scapulae;
;Erector Spinae, Cervicis & Capitis Fibers;
;Sternocleidomastoid, Posterior Fibers;
","
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Latissimus Dorsi;
;Rhomboids;
;Triceps Brachii;
",,,"Preparation

Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.

Execution

Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.
"
Triceps/CBOneArmTriExtPronated,Cable One Arm Triceps Extension (pronated grip),Push,"
;Triceps Brachii;
","
;None ;
","
;Wrist Flexors;
",,,"Preparation

Grasp stirrup cable attachment from behind. Place hand with cable behind neck, palm facing away from neck and elbow positioned upward.

Execution

Extend arm upward. Return and repeat. Continue with opposite arm.
"
BackGeneral/LVSeatedRow,Lever Seated Row,Pull,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
",,"
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Sit on seat and position chest against pad. Push foot lever if available. Grasp narrower parallel grip handles.

Execution

Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Chest pad should be adjusted to allow shoulders to stretch forward. The seat or grip should be adjusted to allow wrists to follow elbows. When completing pull, lift chest slightly and pull shoulder blades together while keeping lower chest on pad. Let shoulders roll forward when arms extend.
"
Triceps/DBTriExt,Dumbbell Triceps Extension,Push,"
;Triceps Brachii;
","
;None ;
","
;Deltoid, Anterior;
;Pectoralis Major, Clavicular;
;Wrist Flexors;
",,,"Preparation

Position one dumbbell over head with both hands under inner plate (heart shaped grip).

Execution

With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.
"
WristExtensors/LVRollerRadialFlexion,Lever Roller Radial Deviation,Pull,"
;Extensor Carpi Radialis;
;Flexor Carpi Radialis;
","
;None ;
","
;No significant stabilizers ;
",,,"Preparation

Place hands on knobs at each end of roller.

Execution

With left hand gripping knob, relax grip of right hand and slide grip downward so fingers are under bottom of knob (by ulnar deviation) and regrip. Relax grip of left hand and rotate knob with right hand so thumb travels closer to body (by radial deviation). Repeat sequence with opposite hands, alternating back and forth until weight plate has raised up near hands. Lower weight steadily with opposite movement or loosen grip slightly to control descent of weight stack.
"
BackGeneral/STInvertedRow,Suspended Inverted Row,Pull,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
","
;Erector Spinae;
;Gluteus Maximus;
;Hamstrings;
","
;Biceps Brachii;
;Triceps, Long Head ;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.

Execution

Pull body up so sides of chest make contact with handles while keeping body straight. Return until arms are extended straight and shoulders are stretched forward. Repeat.

Comments

Handles should be just high enough to allow arm to fully extend. See Gravity Vectors for greater understanding of how body angle influences resistance. This exercise can be performed on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Also see exercise performed on dual anchor suspension trainer. Also known as Body Row or Supine Row.



"
RectusAbdominis/BWBallRollout,Stability Ball Rollout,Push,"
;Rectus Abdominis;
","
;Latissimus Dorsi;
;Teres Major;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
;Deltoid, Posterior;
;Rhomboids;
","
;Obliques;
;Iliopsoas;
;Tensor Fasciae Latae;
;Sartorius;
;Pectineus;
;Adductor Longus;
;Adductor Brevis;
;Triceps Brachii;
;Pectoralis Major, Clavicular;
;Serratus Anterior;
;Pectoralis Minor;
;Wrist Flexors;
","
;Rectus Femoris;
","
;Erector Spinae;
","Preparation

Kneel on floor or mat facing stability ball within arm's reach. Straighten hips with subtle bend. Also straighten arms with slight bend, down in front of body. Place fists side by side on upper side of ball closest to hips.

Execution

Lean forward and roll ridged arms out over ball. Roll forward as far as possible. Raise body back up by pulling arms back until kneeling upright in original position. Repeat.

Comments

Try to keep elbows nearly straight throughout exercise. Also known as Stability Ball Kneeling Rollout.

Target muscle, Rectus Abdominis practically contracts isometrically since only a small degree of waist flexion occurs under resistance and, with the assistance of the External Oblique, act to stabilize spine. See target muscle of rollout question. Also see Spot Reduction Myth and Lower Ab Myth.
"
DeltoidPosterior/CBOneArmRearLateralRaise,Cable One Arm Rear Lateral Raise,Pull,"
;Deltoid, Posterior;
","
;Deltoid, Lateral;
;Infraspinatus;
;Teres Minor;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
","
;Triceps Brachii;
;Wrist Extensors;
;Erector Spinae;
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
;Obliques;
",,,"Preparation

Stand with side to low pulley. Grasp stirrup attachment with hand furthest from pulley. Bend knees slightly and bend over with resting arm to side of low pulley.

Execution

Raise arm to side until elbow is shoulder height. Maintain upper arm perpendicular to torso and fixed elbow position (10° to 30° angle) throughout exercise. Lower and repeat. Repeat with other arm.

Comments

Upper arm should travel in perpendicular path to torso to minimize Latissimus Dorsi involvement.
"
WristExtensors/LVReverseWristCurlPL,Lever Reverse Wrist Curl (plate loaded),Pull,"
;Wrist Extensors;
","
;None ;
","
;No significant stabilizers ;
",,,"Preparation

Grasp bar with overhand grip. Place forearm on padded platform.

Execution

Raise bar until wrist is fully hyperextended and return until wrist is fully flexed. Repeat.
"
Supinators/DBLyingSupinationUp,Dumbbell Lying Supination,Pull,"
;Supinator ;
","
;Biceps Brachii;
",,,,"Preparation

Lie on bench or mat. With hand of upper arm, grasp unilaterally loaded dumbbell; thumb next to side with weight. Bend elbow approximately 90-degrees and place forearm on hip, or side of waist. Position thumb downward (pronated).

Execution

Rotate dumbbell so thumb turns upward (supination). Return and repeat.
"
Triceps/LVTriDipH,Lever Triceps Dip (plate loaded),Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

Sit upright on seat. If possible, place handles in narrow position. Grasp handles.

Execution

Push levers down with elbows pointing back. Allow lever bar to raise until shoulders are slightly stretched. Repeat.
"
LatissimusDorsi/BWPullupOpen,Pull-up (open-centered bar),Pull,"
;Latissimus Dorsi;
","
;Brachialis;
;Brachioradialis;
;Biceps Brachii;
;Teres Major;
;Rhomboids;
;Levator Scapulae;
;Trapezius, Lower;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
",,"
;Triceps, Long Head;
",,"Preparation

Reach up and grasp bars to each side with wide overhand grip.

Execution

Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.

Comments

Range of motion will be compromised if grip is too wide.
"
BackGeneral/LVSeatedUnderhandRow,Lever Underhand Seated Row,Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
",,"
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with underhand grip.

Execution

Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Seat or grip should be adjusted to allow wrists to follow elbows. When completing pull, lift chest slightly and pull shoulder blades together while keeping lower chest on pad. Let shoulders roll forward when arms extend.
"
BackGeneral/CBOneArmStandingRow,Cable Standing Row,Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Triceps; (supporting arm);
","
;Biceps Brachii;
;Triceps, Long Head;
",,"Preparation

Stand to side of medium height, rotating pulley. Place hand shoulder height or slightly lower on support bar with arm straight. Place foot nearest supporting arm forward with knee slightly bent and opposite foot back. Grasp cable stirrup with one hand, allowing shoulder to be pulled forward under weight on cable.

Execution

Pull cable attachment to side of torso while pulling shoulder back, arching spine, and pushing chest forward. Return until arm is extended and shoulder is pulled forward. Repeat. Continue with opposite arm.

Comments

Stirrup handle should be behind supporting bar. Few pulley units have vertical support bar (for supporting hand) far enough back from pulley to allow full range of motion and adequate pulley rotation to allow it to be aligned with line of pull. If pulley unit does not allow for this configuration, consider placing sturdy prop (for supporting hand) in front of pulley, far back enough to allow full range of motion. Also see Cable Standing Low Row.
"
