1.5-rep push-up,Chest,Body Only
30 Arms Barbell Skullcrusher,Triceps,Barbell
30 Arms BFR Close-Grip Push-Up,Triceps,Body Only
30 Arms BFR Dumbbell Kick-Back,Triceps,Dumbbell
30 Arms BFR High Cable Curl,Biceps,Cable
30 Arms BFR Machine Preacher Curl,Biceps,Machine
30 Arms Cable Concentration Curl,Biceps,Cable
30 Arms Cable Rope Hammer Curl,Biceps,Cable
30 Arms Cable Rope Overhead Triceps Extension,Triceps,Cable
30 Arms Cable Rope Push-Down,Triceps,Cable
30 Arms Cable Straight-Bar Curl,Biceps,Cable
30 Arms Cable Straight-Bar Push-Down,Triceps,Cable
30 Arms Cable V-Bar Push-Down,Triceps,Cable
30 Arms Close-Grip Bench Press,Triceps,Barbell
30 Arms Close-Grip Push-Up,Triceps,Body Only
30 Arms Dumbbell Kick-Back,Triceps,Dumbbell
30 Arms Dumbbell Skullcrusher,Triceps,Dumbbell
30 Arms EZ-Bar Preacher Curl,Biceps,E-Z Curl Bar
30 Arms EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar
30 Arms EZ-Bar Spider Curl,Biceps,E-Z Curl Bar
30 Arms Hammer Curl,Biceps,Dumbbell
30 Arms High Cable Curl,Biceps,Cable
30 Arms Incline Biceps Curl,Biceps,Barbell
30 Arms Incline Dumbbell Triceps Extension,Biceps,Dumbbell
30 Arms Incline Hammer Curl,Biceps,Dumbbell
30 Arms Machine Triceps Dip,Triceps,Machine
30 Arms Overhead Dumbbell Triceps Extension,Triceps,Dumbbell
30 Arms Seated Alternating Biceps Curl,Biceps,Dumbbell
30 Arms Seated Biceps Curl,Biceps,Dumbbell
30 Arms Seated Dumbbell Concentration Curl,Biceps,Dumbbell
30 Arms Single-Arm Dumbbell Preacher Curl,Biceps,Dumbbell
30 Arms Single-Arm Hammer Preacher Curl,Biceps,Dumbbell
30 Arms Single-Arm Reverse-Grip Cable Push-Down,Triceps,Cable
30 Arms Squatting Cable Straight-Bar Curl,Biceps,Cable
30 Arms Standing Alternating Biceps Curl,Biceps,Dumbbell
30 Arms Standing Alternating Hammer Curl,Biceps,Dumbbell
30 Arms Standing Barbell Curl,Biceps,Barbell
30 Arms Standing Biceps Curl,Biceps,Dumbbell
30 Arms Standing Dumbbell Hammer Curl 21s,Biceps,Dumbbell
30 Arms Standing EZ-Bar Curl,Biceps,E-Z Curl Bar
30 Arms Standing Overhand EZ-Bar Curl,Biceps,E-Z Curl Bar
30 Arms Triceps Dip,Triceps,Body Only
30 Arms Underhand Cable Straight-Bar Push-Down,Triceps,Cable
30 Arms Weighted Triceps Dip,Triceps,Other
30 Back Band-Assisted Pull-Up,Middle Back,Bands
30 Back Barbell Deadlift,Middle Back,Barbell
30 Back Bent-Over Barbell Row,Middle Back,Barbell
30 Back Bent-Over Dumbbell Row,Middle Back,Dumbbell
30 Back Close-Grip Seated Cable Row,Middle Back,Cable
30 Back Dumbbell Pull-Over,Middle Back,Dumbbell
30 Back Incline Dumbbell Row,Middle Back,Dumbbell
30 Back Incline Face-Up Cable Pull-Down,Middle Back,Cable
30 Back Kneeling High Cable Pull-Down,Middle Back,Cable
30 Back Leaning V-Bar Pull-Down,Middle Back,Cable
30 Back Machine Seated Row,Middle Back,Machine
30 Back Neutral-Grip Pull-Down,Middle Back,Body Only
30 Back Plate Hyperextension,Middle Back,Other
30 Back Pull-Up,Middle Back,Body Only
30 Back Reverse-Grip Band-Assisted Pull-Up,Middle Back,Bands
30 Back Reverse-Grip Pull-Down,Middle Back,Cable
30 Back Reverse-Grip Pull-Up,Middle Back,Body Only
30 Back Single-Arm Dumbbell Row,Middle Back,Dumbbell
30 Back Single-Arm Dumbbell Swing Row,Middle Back,Dumbbell
30 Back Smith Machine Push-Up,Middle Back,Machine
30 Back Standing Low Cable Bar Row,Middle Back,Cable
30 Back Standing Low Cable Rope Row,Middle Back,Cable
30 Back Straight-Arm Bar Pull-Down,Middle Back,Cable
30 Back Straight-Arm Rope Pull-Down,Middle Back,Cable
30 Back Suspension Inverted Row,Middle Back,
30 Back T-Bar Row,Middle Back,Barbell
30 Back Underhand Bent-Over Barbell Row,Middle Back,Barbell
30 Back V-Bar Pull-Down,Middle Back,
30 Back Weighted Pull-Up,Middle Back,
30 Back Wide-Grip Behind-The-Head Pull-Down,Middle Back,Cable
30 Back Wide-Grip Pull-Down,Middle Back,Cable
30 back Wide-Grip Seated Cable Row,Middle Back,Cable
30 Barbell Floor Wiper,Abdominals,Barbell
30 Barbell Roll-Out,Abdominals,Barbell
30 Bosu Cable Reverse Crunch,Abdominals,Exercise Ball
30 Cable Pallof Press,Abdominals,Cable
30 Cable Reverse Crunch,Abdominals,Cable
30 Cable Reverse Crunch On Ball,Abdominals,Cable
30 Cable Rope Crunch,Abdominals,Cable
30 Cable Rope Oblique Crunch,Abdominals,Cable
30 Chest 30-Degree Incline Dumbbell Fly,Chest,Dumbbell
30 Chest 30-Degree Incline Dumbbell Press,Chest,Barbell
30 Chest 30-Degree Incline Smith Machine Press,Chest,Machine
30 Chest Barbell Bench Press,Chest,Barbell
